,course_name,instructor,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,students_count
2474,Complete Android Jetpack Masterclass,"Denis Panjuta, Tutorials.eu by Denis Panjuta",4.9,413.0,16 total hours,101 lectures,Intermediate,269.99,1399.99,"2,784 students"
2475,Learn Apache Cassandra from Scratch,"Eduonix Learning Solutions, Eduonix-Tech .",4.3,413.0,4 total hours,25 lectures,All Levels,229.99,419.99,"4,409 students"
2476,Learn GIT In depth with BitBucket- Practical work flows,"QA Test Academy, Rahul Shetty",4.6,413.0,6.5 total hours,42 lectures,All Levels,229.99,1199.99,"3,103 students"
2477,Selenium Java Test Framework & Best Practices - Masterclass,Omprakash Chavan,4.6,412.0,20.5 total hours,213 lectures,All Levels,269.99,719.99,"3,707 students"
2478,A Beginners Guide To SQL. Master SQL Quickly,Infinite Skills,4.1,412.0,3.5 total hours,34 lectures,All Levels,229.99,479.99,"1,618 students"
2479,WordPress for Beginners,Tanzeel Ur Rehman,4.3,412.0,5.5 total hours,43 lectures,Beginner,199.99,229.99,"39,113 students"
2480,The HTML And CSS Bootcamp,Suspendee Studios,4.3,411.0,2.5 total hours,32 lectures,Beginner,229.99,719.99,"30,428 students"
2481,Complete WordPress Theme Developer Course With Bootstrap,"Rob Percival, Bruce Chamoff, Codestars • over 2 million students worldwide!",4.3,411.0,26.5 total hours,168 lectures,All Levels,229.99,849.99,"4,129 students"
2482,Hibernate and Spring Data JPA: Beginner to Guru,"John Thompson • 433,000+ Enrollments Worldwide, Spring Ahead Code Academy",4.5,411.0,27.5 total hours,246 lectures,All Levels,229.99,1199.99,"5,166 students"
2483,NLP and Text mining with python(for absolute beginners only),Statinfer Solutions,3.9,410.0,2.5 total hours,33 lectures,All Levels,199.99,229.99,"9,943 students"
2484,Python and  Data Science  for beginners,Bluelime Learning Solutions,3.8,410.0,4.5 total hours,40 lectures,Beginner,229.99,619.99,"41,642 students"
2485,2 Real World Azure Data Engineer Project End to End,Deepak Goyal,4.1,409.0,7 total hours,33 lectures,All Levels,519.99,765.8469641367806,"3,105 students"
2486,PHP MySQL & CodeIgniter Course: Complete Guide,Fatah Gabrial,4.2,409.0,6.5 total hours,86 lectures,All Levels,269.99,1299.99,"37,040 students"
2487,Studio 5000 PLC Ladder Logic Training. Advanced,Jeff Sharman,4.6,408.0,3 total hours,29 lectures,Intermediate,229.99,479.99,"2,267 students"
2488,Deluge on a Luge: Learn Zoho Programming,"Jeremy Nagel, Mario Cabrera",4.4,408.0,6 total hours,94 lectures,Beginner,319.99,599.99,"1,709 students"
2489,Learning Path: The Roadway to IBM Cognos Analytics,Packt Publishing,3.5,408.0,6 total hours,49 lectures,Beginner,269.99,1299.99,"1,795 students"
2490,Become a Web Designer - HTML & CSS for Beginners,Chandrasekaran Janardhanan,4.3,408.0,8 total hours,325 lectures,All Levels,199.99,229.99,"34,381 students"
2491,Practical Java Basics Course with Real-life Examples,Sandor Szekeres,4.6,408.0,4 total hours,50 lectures,Beginner,199.99,229.99,"46,221 students"
2492,Digital Signal Processing with MATLAB (Codes Included),Hossein Tootoonchy,4.3,408.0,2.5 total hours,33 lectures,All Levels,269.99,719.99,"3,486 students"
2493,Build Real World Websites from Scratch using HTML5 and CSS3,Development Island (UK),4.8,407.0,8 total hours,61 lectures,Beginner,269.99,1399.99,"28,864 students"
2494,Javascript ES6! A Complete Reference Guide to Javascript ES6,Abhay Talreja,4.7,407.0,6.5 total hours,45 lectures,Intermediate,229.99,1199.99,"26,374 students"
2495,Developing with S3: AWS with Python and Boto3 Series,Niyazi Erdogan,4.3,407.0,3 total hours,37 lectures,All Levels,319.99,579.99,"3,243 students"
2496,Unity 5: Lighting Fundamentals,Jesse Ryan McAdam,4.3,406.0,2 total hours,18 lectures,All Levels,229.99,319.99,"5,618 students"
2497,Learn Azure Cosmos DB basics this weekend in 3 hour,"Eshant Garg | | LearnCloud.Info | 100,000+ Enrollments",4.3,406.0,4.5 total hours,37 lectures,Beginner,199.99,229.99,"3,167 students"
2498,"HTML, CSS and JavaScript Complete course",DoEdu IT Educations,4.6,406.0,10 total hours,125 lectures,All Levels,269.99,1299.99,"12,548 students"
2499,"DevOps Catalog, Patterns, And Blueprints","Viktor Farcic, Darin Pope",4.3,406.0,13 total hours,121 lectures,All Levels,269.99,349.99,"4,843 students"
